@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'When freedom does not have a purpose, when it does not wish to know anything about the rule of law engraved in the hearts of men and women, when it does not listen to the voice of conscience, it turns against humanity and society.',' Freedom'
'The liberties of our country, the freedom of our civil constitution, are worth defending against all hazards: And it is our duty to defend them against all attacks.',' Freedom'
'How absurd men are! They never use the liberties they have, they demand those they do not have. They have freedom of thought, they demand freedom of speech.',' Freedom'
'To say that any people are not fit for freedom, is to make poverty their choice, and to say they had rather be loaded with taxes than not.',' Freedom'
'I live in America. I have the right to write whatever I want. And it\'s equaled by another right just as powerful: the right not to read it. Freedom of speech includes the freedom to offend people.',' Freedom'
'Those who profess to favor freedom, and yet depreciate agitation, are men who want crops without plowing up the ground.',' Freedom'
'The higher one climbs on the spiritual ladder, the more they will grant others their own freedom, and give less interference to another\'s state of consciousness.',' Freedom'
'Freedom of religion is a principle that is central to our Nation\'s Declaration of Independence. Congress has taken this positive step to protect our freedom to express allegiance to America\'s flag and the ideals it represents.',' Freedom'
'The people who are competing business-wise out there want what other successful labels and artists have. I don\'t want what they have; I want my own path, my own sound, my own identity. Record labels care nothing about identity or artistic freedom, they want good business.',' Freedom'
'The Law of God reaches into every area of life, and it brings about incredible blessing and incredible freedom.',' Freedom'
'I do have the freedom to choose what I want to do and I\'ll continue to do that.',' Freedom'
'But I do believe that a woman\'s truest place is in a home, with a husband and with children, and with large freedom, pecuniary freedom, personal freedom, and the right to vote.',' Freedom'
'And freedom is what America means to the world.',' Freedom'
'The communitarians may say you\'ve been enjoying too much individual freedom, and that you must give up some of that for the benefit of the community. But they really mean that they want more power over your life - to force you to subsidize, obey and conform to their choices.',' Freedom'
'Every American deserves to live in freedom, to have his or her privacy respected and a chance to go as far as their ability and effort will take them - regardless of race, gender, ethnicity or economic circumstances.',' Freedom'
'If ebooks mean that readers\' freedom must either increase or decrease, we must demand the increase.',' Freedom'
'Value your freedom or you will lose it, teaches history. \'Don\'t bother us with politics\', respond those who don\'t want to learn.',' Freedom'
'Free software is software that respects your freedom and the social solidarity of your community. So it\'s free as in freedom.',' Freedom'
'For science must breathe the oxygen of freedom.',' Freedom'
'In the free/libre software movement, we develop software that respects users\' freedom, so we and you can escape from software that doesn\'t.',' Freedom'
'That feeling of freedom, open highways of possibilities, has kind of been lost to materialism and marketing.',' Freedom'
'Yes, we have the freedom to do what we please, but it only works because we don\'t do everything we might please - we should exercise some degree of personal, and corporate, responsibility.',' Freedom'
'Now we understand much more clearly. why people from all over the world want to come to New York and to America. It\'s called freedom.',' Freedom'
'Money buys many things... The best of which is freedom.',' Freedom'
'Freedom is a muscle... you have to exercise it.',' Freedom'
'Just as the Security Council was largely irrelevant to the great struggle of the last half of the twentieth century - freedom against Communism - so too it is largely on the sidelines in our contemporary struggles against international terrorism and the proliferation of weapons of mass destruction.',' Freedom'
